active,description,id,imagesUrl,inSale,index,mainCategory,name,priceAfterTax,priceBeforeTax,quantity,subCategory,tax,url,visibility
1,"               Możliwość dokonania odroczonej płatności PayPo lub rozłożenia  kwoty  na  raty . W sprawie  rat  napisz do nas na hello@moonsister.pl  UWAGA! Po tych warsztatach odkryjesz swoje prawdziwe PRZEZNACZENIE! Czy kiedykolwiek zastanawiałaś się jaki jest Plan Twojej Duszy na to wcielenie? Czy wierzysz w to, że Twoje życie ma Wyższy Cel? Zapraszam Cię do fascynującej podróży po planie przedurodzeniowym, gdzie krok po kroku będziemy odkrywać misję Twojej Duszy na to wcielenie.  Jeśli byłaś jedną z ponad 150 osób, które wzięły udział w PODRÓŻY DUSZY I POZIOM i poznały swoje poprzednie wcielenia -  wiesz, że tych Warsztatów nie można opuścić!!! Jeśli temat Planu Duszy na obecne wcielenie pociąga Cię tak bardzo jak mnie, czytaj dalej! „Ten, który zna swój cel, znajdzie do niego drogę” - Lao Tse    Koncepcja dharmy zakłada, że każdy z nas rodzi się z jakimś wyjątkowym talentem i sposobem wyrażania do świata. Podążając zgodnie z planem swojej Duszy nie tylko wiedziemy życie w poczuciu spełnienia i wyższego celu, ale zapewniamy sobie obfitość! Przeznaczeniem w naszej ziemskiej wędrówce jest odnalezienie wyjątkowej esencji, daru i supermocy oraz ucieleśnienie ich w swoim życiu. Tego będziemy uczyć się na warsztatach! Plan Twojej Duszy nie polega na tym, co robisz, ale na tym, dlaczego i jak to robisz. To Twoja wyjątkowa esencja, wibracja, z którą urodziłeś się, aby dzielić się nią ze światem!  *Warsztat Podróż Duszy II jest kontynuacją warsztatu Podróż Duszy I, który dotyczył wpływu poprzednich wcieleń na Twoją obecną inkarnację. Rekomendujemy przerobienie poziomu I, aby odczytać z Twojego Planu jak najwięcej szczegółów.             ",1,https://moonsister.pl/cdn/shop/files/grafika.png?crop=center&height=644&v=1697217577&width=908,1,1,akademia moonsister,Warsztaty Podróż Duszy II: Misja Duszy na obecne wcielenie - Odkryj swoje przeznaczenie,999.0,812.2,10,warsztaty,5,https://moonsister.pl/products/warsztaty-podroz-duszy-misja-duszy-na-obecne-wcielenie-odkryj-swoje-przeznaczenie,both
1,"               Skarpetki ze zodiakalnym wzorem, dla Ciebie lub kogoś bliskiego!  Zaopiekuj się swoim znakiem solarnym w  najmilszy, możliwy sposób! Twoje prywatne, zodiakalne skarpetki umilą wiele chłodnych wieczorów i otulą nie tylko Twoje stópki, ale i Piękną Duszę!             ",2,"https://moonsister.pl/cdn/shop/products/image1_a6e7441d-945c-412e-a047-c9bcff3ce400.jpg?crop=center&height=1134&v=1697258015&width=1512,https://moonsister.pl/cdn/shop/products/image0.jpg?crop=center&height=411&v=1697258017&width=726,https://moonsister.pl/cdn/shop/products/image2_cba371cf-7949-4f64-ab45-8a053cc13bca.jpg?crop=center&height=1134&v=1697258020&width=1512",1,2,magiczna przestrzeń,Skarpetki zodiakalne Moonsister,39.0,31.71,10,poduszki,5,https://moonsister.pl/products/skarpetki-zodiakalne-moonsister,both
1,"               Naszyjnik Nature wesprze Twoje połączenie ze wszechświatem oraz naturą! Pomoże Ci poczuć jedność z otaczającym światem.   Agat mszysty jest kamieniem dedykowanym wszystkim, którzy chcą wzmocnić swoje połączenie z duchami natury oraz odnaleźć harmonię i spokój w codziennej rzeczywistości. Jest pomocny, gdy czujemy osłabienie organizmu. Dzięki niemu możemy poczuć przypływ sił witalnych.  Kwarc tygrysi przynosi szczęście i sukces, sprzyja zwiększeniu odwagi w działaniach.   Załóż talizman Nature, gdy odczuwasz chaos i zwątpienie, brakuje Ci poczucia zrozumienia, chcesz stać się częścią jedności oraz odnieść sukces w podjętych wyzwaniach.   Talizman energetyzowany, ten naszyjnik   naenergetyzuje   dla Ciebie Moonbrother Mariusz, który z energią pracuje od ponad 30 lat!             ",3,"https://moonsister.pl/cdn/shop/products/1758.png?crop=center&height=640&v=1697245109&width=800,https://moonsister.pl/cdn/shop/products/1759.jpg?crop=center&height=1134&v=1697245112&width=1512",1,3,biżuteria i talizmany,Naszyjnik z kwarcem tygrysim i agatem mszystym - Talizman wyzwolenia i harmonii z przyrodą Nature,275.0,223.58,10,energetyzowane naszyjniki,5,https://moonsister.pl/products/naszyjnik-z-kwarcem-tygrysim-i-agatem-mszystym-talizman-wyzwolenia-i-harmonii-z-przyroda-nature,both
1,"               Wąż reprezentuje reinkarnację, nieśmiertelność i czystość. Ma potężne połączenie z pierwotną energią i siłą życiową.  W większości kultura jest uważany za potężny symbol reprezentujący źródło życia. To atrybut energii, ważnych przejść i zmian, niezależnie od tego, czy zachodzą one na poziomie duchowym, emocjonalnym czy fizycznym.  Załóż bransoletkę Royal Cobra, gdy jesteś na etapie transformacji i dużych zmian życiowych lub potrzebujesz dodatkowych sił witalnych.   Talizman energetyzowany, ten naszyjnik  naenergetyzuje   dla Ciebie Moonbrother Mariusz, który z energią pracuje od ponad 30 lat.             ",4,"https://moonsister.pl/cdn/shop/files/bransoletkaroyalcobra.png?crop=center&height=1200&v=1698153880&width=1200,https://moonsister.pl/cdn/shop/files/bransoletkaroyalcobra1.jpg?crop=center&height=640&v=1698156031&width=640",1,4,biżuteria i talizmany,Bransoletka żmijka - Talizman transformacji Royal Cobra,199.0,161.79,10,energetyzowane bransoletki,5,https://moonsister.pl/products/bransoletka-zmijka-talizman-transformacji-royal-cobra,both
1,"               Jedynko, jeśli wibrujesz w świetle Twoim atrybutem jest odwaga, inicjatywa i talenty przywódcze. Kochasz wyzwania, a Twoja spontaniczność i siła charakteru wprawiają w osłupienie. Jeśli dotykasz cienia, odczuwasz zaburzenia w opisanych obszarach. Przyjmij wysokie wibracje z talizmanem Numerology, wzmocnij najlepsze potencjały swojej liczby numerologicznej i wyglądaj magicznie zawieszając ten talizman na dowolnym naszyjniku lub bransoletce Moonsister.  Talizman Numerology został   naenergetyzowany   przez naszego Moonbrothera Mariusza, który z energią pracuje ponad 30 lat, aby wspomóc wyciągnięcie światła z archetypu wibracji Twojej Drogi Życia.             ",5,"https://moonsister.pl/cdn/shop/products/1104.jpg?crop=center&height=1200&v=1697257161&width=1200,https://moonsister.pl/cdn/shop/products/1105.jpg?crop=center&height=1200&v=1697257164&width=1200",1,5,biżuteria i talizmany,Charms pozłacany z cyfrą 1 - Talizman numerologiczny,89.0,72.36,10,energetyzowane naszyjniki,5,https://moonsister.pl/products/zawieszka-pozlacana-z-cyfra-1-talizman-numerologiczny,both
1,"               Dwójko, jeśli wibrujesz w świetle jesteś uosobieniem kobiecych energii. Twoim atrybutem jest umiejętność współpracy, dyplomacja, łagodność, tolerancja. Wiesz jak postępować z emocjami i masz silną intuicję. Jeśli dotykasz cienia, odczuwasz zaburzenia w opisanych obszarach. Przyjmij wysokie wibracje z talizmanem Numerology, wzmocnij najlepsze potencjały swojej liczby numerologicznej i wyglądaj magicznie zawieszając ten talizman na dowolnym naszyjniku lub bransoletce Moonsister.  Talizman Numerology został  naenergetyzowany  przez naszego Moonbrothera Mariusza, który z energią pracuje ponad 30 lat, aby wspomóc wyciągnięcie światła z archetypu wibracji Twojej Drogi Życia.             ",6,"https://moonsister.pl/cdn/shop/products/1106.jpg?crop=center&height=1200&v=1697260535&width=1200,https://moonsister.pl/cdn/shop/products/1105_24135468-5033-4e9a-993a-29dc77522988.jpg?crop=center&height=1200&v=1697260539&width=1200",1,6,biżuteria i talizmany,Charms pozłacany z cyfrą 2 - Talizman numerologiczny,89.0,72.36,10,energetyzowane naszyjniki,5,https://moonsister.pl/products/charms-pozlacany-z-cyfra-2-talizman-numerologiczny-1,both
1,"               Trójko, jeśli wibrujesz w świetle Twoim atrybutem jest błyskotliwość, pomysłowość, towarzyskość i talent artystyczny. Jesteś wesoła, lubiana, wolna od przesądów i ograniczeń i umiesz cieszyć się życiem jak dziecko. Jeśli dotykasz cienia, odczuwasz zaburzenia w opisanych obszarach. Przyjmij wysokie wibracje z talizmanem Numerology, wzmocnij najlepsze potencjały swojej liczby numerologicznej i wyglądaj magicznie zawieszając ten talizman na dowolnym naszyjniku lub bransoletce Moonsister.  Talizman Numerology został  naenergetyzowany  przez naszego Moonbrothera Mariusza, który z energią pracuje ponad 30 lat, aby wspomóc wyciągnięcie światła z archetypu wibracji Twojej Drogi Życia.              ",7,"https://moonsister.pl/cdn/shop/products/1108.jpg?crop=center&height=1200&v=1697259538&width=1200,https://moonsister.pl/cdn/shop/products/1105_decc5b51-bee8-4278-b723-0c19611433c3.jpg?crop=center&height=1200&v=1697259541&width=1200",1,7,biżuteria i talizmany,Charms pozłacany z cyfrą 3 - Talizman numerologiczny,89.0,72.36,10,energetyzowane naszyjniki,5,https://moonsister.pl/products/charms-pozlacany-z-cyfra-3-talizman-numerologiczny,both
1,"               Runy to starożytna forma wyroczni używana przez szukających porady. Mają długą historię, sięgającą starożytnych plemion germańskich i nordyckich, i nadal są szeroko stosowane w dzisiejszym społeczeństwie. Słowo „runa” oznacza po prostu tajemnicę lub szept i jest to forma wróżenia lub systemu wyroczni, która pomaga uzyskać odpowiedzi na pytania.  Onyks to kamień potężnej ochrony, siły, skupienia i siły woli. Chroni aurę przed negatywnymi bytami, oczyszcza ze złych energii. Łagodzi samotność, sprawia, że   jego użytkownik czuje się kochany i chroniony. Wspiera mediumizm i wzmacnia moce parapsychiczne, sprawiając, że Twój odczyt staje się jeszcze bardziej dokładny.             ",8,https://moonsister.pl/cdn/shop/products/runyonyks.jpg?crop=center&height=1134&v=1697258847&width=1512,1,8,narzędzia magiczne,Zestaw run - Czarny Onyks,219.0,178.05,10,runy,5,https://moonsister.pl/products/zestaw-run-czarny-onyks,both
1,"               Runy to starożytna forma wyroczni używana przez szukających porady. Mają długą historię, sięgającą starożytnych plemion germańskich i nordyckich, i nadal są szeroko stosowane w dzisiejszym społeczeństwie. Słowo „runa” oznacza po prostu tajemnicę lub szept i jest to forma wróżenia lub systemu wyroczni, która pomaga uzyskać odpowiedzi na pytania.  Lapis Lazuli to Kamień Bogów – kamień mądrości, intuicji i prawdy. Jest potężnym kryształem dla każdego, kto chce pogłębić swoją więź z sobą. Właściwości Lapisu Lazuli znane są z otwierania czakry trzeciego oka, centrum intuicji i wewnętrznej mądrości. Kamień ten wzmacnia zdolność introspekcji i odkrywania prawdy, ułatwia wkroczenie w swoją moc i poznanie autentycznego Ja.             ",9,https://moonsister.pl/cdn/shop/products/runylapis.jpg?crop=center&height=900&v=1697258573&width=1200,1,9,narzędzia magiczne,Zestaw run - Lapis Lazuli,219.0,178.05,10,runy,5,https://moonsister.pl/products/zestaw-run-lapis-lazuli,both
0,"               Runy to starożytna forma wyroczni używana przez szukających porady. Mają długą historię, sięgającą starożytnych plemion germańskich i nordyckich, i nadal są szeroko stosowane w dzisiejszym społeczeństwie. Słowo „runa” oznacza po prostu tajemnicę lub szept i jest to forma wróżenia lub systemu wyroczni, która pomaga uzyskać odpowiedzi na pytania.  Ametyst uwalnia od lęków, przywraca równowagę osobom podatnym na stres, przynosi spokój i uwolnienie umysłu od negatywnych myśli. Pomaga radzić sobie z emocjami, dodaje cierpliwości, uwalnia od codziennego zmęczenia i problemów. Przywraca harmonię ducha.             ",10,https://moonsister.pl/cdn/shop/products/runyametyst.jpg?crop=center&height=360&v=1697256358&width=480,1,10,narzędzia magiczne,Zestaw run - Ametyst,219.0,178.05,10,runy,5,https://moonsister.pl/products/zestaw-run-ametyst,both
